Id,SalePrice
1461,123967.09118014693
1462,142112.88425648055
1463,180493.08607041344
1464,200079.67835359785
1465,189524.7355746219
1466,170601.98655258835
1467,167335.53763740306
1468,172501.00477085155
1469,177150.31675562044
1470,127487.89330921504
1471,183543.55744046814
1472,98206.66888017063
1473,100110.86270732456
1474,146982.77783556518
1475,114740.47075255979
1476,333731.8049958126
1477,239626.2854785677
1478,325026.1000218349
1479,315392.06537831976
1480,468851.0952728734
1481,317427.2754037355
1482,209881.41065323347
1483,170808.45088643156
1484,170950.3729117307
1485,207535.53157292848
1486,198620.9075564001
1487,330169.87036396156
1488,224295.49442579408
1489,190337.0684226439
1490,237343.31054662622
1491,194752.00830396108
1492,77934.33503845744
1493,214681.10040799857
1494,288573.79625165195
1495,296091.11637045554
1496,237803.90519585364
1497,161792.9998002065
1498,177651.393819516
1499,171979.2353058921
1500,161793.1675691436
1501,177629.74383080102
1502,170227.50146981547
1503,271885.1707685118
1504,248292.03079276995
1505,218684.10687851036
1506,182682.76505624445
1507,228315.37309332946
1508,203164.52868327417
1509,158551.1587951444
1510,152072.60585140056
1511,150017.6376628472
1512,168805.40008890734
1513,144286.1127160366
1514,133870.9812150265
1515,174418.07624232196
1516,145471.27903781977
1517,146603.0124336682
1518,130174.53223925954
1519,210205.94479706572
1520,131306.30290583847
1521,125022.55147811813
1522,176124.91498749665
1523,110242.18505325151
1524,110507.11095831763
1525,119151.25957356488
1526,108101.41210653285
1527,105585.60015929786
1528,120284.70800777276
1529,154156.81210961705
1530,189527.54482622666
1531,135923.9255291819
1532,98455.55393248616
1533,135135.4700488529
1534,114826.61085759185
1535,150901.74371102013
1536,113511.7371437189
1537,78922.33901913637
1538,140561.70077568604
1539,170403.74856202083
1540,81246.00306371409
1541,137564.31123680063
1542,136828.32349554638
1543,165179.8064677105
1544,85619.55049320882
1545,115867.7579992916
1546,148408.2478232541
1547,148474.4360003346
1548,129064.00032812622
1549,134427.18585173532
1550,152536.92459958335
1551,105464.02349840275
1552,137498.49458133368
1553,133876.62372882088
1554,114966.95567250792
1555,166263.7350755289
1556,90605.1949494403
1557,85128.41054025102
1558,101058.83056348776
1559,87197.69239793577
1560,155022.7566883926
1561,104847.13460471427
1562,134143.49175789146
1563,118722.80028785324
1564,155529.53467106205
1565,162733.92618110825
1566,218482.24378918263
1567,80558.82377156253
1568,240816.37201143455
1569,145642.47297831217
1570,152649.9789526555
1571,111620.50498834945
1572,135742.65976363793
1573,210441.3439235034
1574,111750.42474646556
1575,228384.17845655413
1576,243801.97282867864
1577,192369.5315128047
1578,136568.2477681516
1579,137359.23924125193
1580,205370.98892797861
1581,150779.2807006846
1582,128862.84726591532
1583,292311.89272973075
1584,237620.1481463549
1585,142633.2215945503
1586,74221.4259697891
1587,114511.60719619639
1588,145679.44347394144
1589,95706.37793665205
1590,125006.03509912988
1591,95514.11908845873
1592,118520.43728851785
1593,131737.71337662084
1594,114883.19817243761
1595,109921.52056720848
1596,221524.52115597462
1597,170837.7059969429
1598,202266.10290985327
1599,175758.9203337292
1600,177625.7385002823
1601,71852.88693487707
1602,115945.70698006284
1603,79769.80023081743
1604,274855.2529341473
1605,247384.9553703226
1606,161005.11616309496
1607,150354.84636696868
1608,238290.7963476963
1609,179275.82694134032
1610,142304.37946555403
1611,139151.67808910026
1612,169090.66083378758
1613,168633.18855357246
1614,146554.02218460682
1615,92760.33787133533
1616,77898.83053778649
1617,93914.85370231695
1618,120108.99729553591
1619,149843.23919333392
1620,145067.3737886717
1621,127653.49466172897
1622,144696.1295386807
1623,280359.642276584
1624,215732.92269431095
1625,114300.89737343443
1626,188030.78442378485
1627,202159.28039018752
1628,291691.8849746984
1629,190277.2071612066
1630,255474.88899031747
1631,211854.92405350663
1632,214286.89521764976
1633,197356.23184977885
1634,192316.4371059251
1635,192087.22380363112
1636,151584.33152926087
1637,184851.85149223852
1638,184318.2442983537
1639,174615.98869857794
1640,228015.11763526962
1641,166836.21410446765
1642,255141.22066677533
1643,212263.7584012834
1644,243227.71668951266
1645,213537.56739420464
1646,175089.7253879583
1647,150943.183250854
1648,134024.8082277833
1649,153475.6512681096
